,Unnamed: 0,Speech_Number,Para_No,date_x,sentances,old_sentiment,bitcoin_sentiment,digital_count
4,16,86,1,01/08/2020,"Yves Mersch: An ECB digital currency – a flight of fancy?Speech by Mr Yves Mersch, Member of the Executive Board of the European Central Bank andVice-Chair of the Supervisory Board of the European Central Bank, at the Consensus 2020virtual conference, 11 May 2020",0,1,1
5,17,86,2,01/08/2020,*   *   *A recent survey among 66 central banks by the Bank for International Settlements shows that1more than 80% are working on central bank digital currencies (CBDCs),0,1,1
6,18,86,9,01/08/2020,"So we should be looking ahead and consider whether, in the future, central banks will need toprovide the public with some form of digital currency.",0,1,1
7,24,86,10,01/08/2020,The ECB’s debate on CBDCs is therefore mainly analytical.,0,1,1
8,29,86,11,01/08/2020,The lack of a concrete “business case” for a CBDC at present should and does not stop us fromseriously exploring the optimal design of a CBDC so that we will be well prepared should we ever,-1,1,2
9,30,86,12,01/08/2020,1 / 4 BIS central bankers' speechestake a policy decision to issue a digital currency.,0,1,1
10,31,86,12,01/08/2020,"To this end, we have set up a task force on aCBDC within the Eurosystem",-1,1,1
11,32,86,14,01/08/2020,"Legally solid despite fancy design?Most of the money issued by central banks is in fact already digital, albeit not called CBDC.",1,1,1
12,36,86,15,01/08/2020,"Indeed, this lies at the heart of the discussion on CBDCs",0,1,1
13,37,86,16,01/08/2020,"A wholesale CBDC, restricted to a limited group of financial counterparties, would be largelybusiness as usual.",0,1,1
14,38,86,16,01/08/2020,"However, a retail CBDC, accessible to all, would be a game changer.",0,1,1
15,39,86,16,01/08/2020,So aretail CBDC is now our main focus,0,1,1
16,40,86,17,01/08/2020,"Setting up a CBDC would require a solid legal basis, in line with the principle of conferral underEU law.",0,1,1
17,41,86,17,01/08/2020,One key consideration here is whether a retail CBDC could and should have the samelegal tender status as banknotes and coins.,0,1,1
18,42,86,17,01/08/2020,"In practice, legal tender status implies that a CBDCwould have to be usable at any location and under any condition, possibly even offline.",0,1,1
19,43,86,17,01/08/2020,"Withoutlegal tender status, the legal basis would need to be clarified, as would the relationship betweena CBDC and euro banknotes and coins, along with the process by which one could beexchanged for the other.",0,1,1
20,44,86,17,01/08/2020,"Should it not be acknowledged that the ECB’s exclusive right toauthorise issuance in euro would also be applicable to a digital issuance?A retail CBDC could be based on digital tokens, which would circulate in a decentralised manner– that is without a central ledger – and allow for anonymity towards the central bank, similar tocash.",1,1,1
21,45,86,17,01/08/2020,Some argue that a token-based digital currency might not guarantee complete anonymity,-1,1,1
22,47,86,18,01/08/2020,We arecurrently looking into the legal questions raised by the potential use of intermediaries to facilitatethe circulation of a CBDC and also the processing of transactions in a CBDC.,-1,1,2
23,49,86,18,01/08/2020,"And what would be the appropriateextent of supervision over such entities?Alternatively, a retail CBDC could be based on deposit accounts with the central bank.",0,1,1
24,52,86,18,01/08/2020,"ACBDC of this nature would enable the central bank to register transfers between users, therebyproviding protection against money laundering and other illicit uses (or those considered illicit bythe rulers of the day), depending on the degree of privacy granted to users",-3,1,1
